"","Player","Tm","seson17_18"
"302","Skal Labissière","POR",2338847
"303","Chandler Hutchison","CHI",2332320
"304","Patrick Patterson","LAC",2331593
"305","Dejounte Murray","SAS",2321735
"306","Isaiah Thomas","WAS",2320044
"307","Alec Burks","GSW",2320044
"308","Damian Jones","ATL",2305057
"309","Darius Bazley","OKC",2284800
"310","OG Anunoby","TOR",2281800
"311","Ante Žižić","CLE",2281800
"312","Monta Ellis","IND",2245400
"313","Aaron Holiday","IND",2239200
"314","Luke Kornet","CHI",2195122
"315","Ty Jerome","PHO",2193480
"316","Willie Cauley-Stein","GSW",2177483
"317","Austin Rivers","HOU",2174318
"318","Anfernee Simons","POR",2149560
"319","Matt Barnes","SAC",2133541
"320","Nassir Little","POR",2105520
"321","Torrey Craig","DEN",2100000
"322","Moritz Wagner","WAS",2063520
"323","Dylan Windler","CLE",2035800
"324","Caleb Swanigan","SAC",2033160
"325","Kyle O'Quinn","PHI",2028594
"326","Michael Carter-Williams","ORL",2028594
"327","Nerlens Noel","OKC",2028594
"328","Mike Muscala","OKC",2028594
"329","Troy Daniels","LAL",2028594
"330","Trey Burke","PHI",2028594
"331","Spencer Hawes","MIL",2007058
"332","Edmond Sumner","IND",2e+06
"333","Noah Vonleh","MIN",2e+06
"334","Avery Bradley","MEM",2e+06
"335","Landry Shamet","LAC",1995120
"336","Mfiondu Kabengele","LAC",1977000
"337","Kyle Kuzma","LAL",1974600
"338","Jordan Poole","GSW",1964760
"339","Tony Bradley","UTA",1962360
"340","Keldon Johnson","SAS",1950600
"341","Derrick White","SAS",1948080
"342","Robert Williams","BOS",1937520
"343","Josh Hart","NOP",1934160
"344","Jacob Evans","GSW",1925880
"345","Anderson Varejão","POR",1913345
"346","Džanan Musa","BRK",1911600
"347","Omari Spellman","GSW",1897800
"348","James Ennis","PHI",1882867
"349","Shabazz Napier","MIN",1882867
"350","Glenn Robinson","GSW",1882867
"351","Tim Frazier","DET",1882867
"352","Ben McLemore","HOU",1882867
"353","Larry Sanders","MIL",1865547
"354","Bruno Caboclo","MEM",1845301
"355","Mario Hezonja","POR",1737145
"356","Emmanuel Mudiay","UTA",1737145
"357","Raul Neto","PHI",1737145
"358","JaKarr Sampson","IND",1737145
"359","Cameron Payne","TOR",1737145
"360","Anthony Bennett","HOU",1737145
"361","Pat Connaughton","MIL",1723050
"362","Jahlil Okafor","NOP",1702486
"363","Rodions Kurucs","BRK",1699236
"364","Jonah Bolden","PHI",1698450
"365","Cheick Diallo","PHO",1678854
"366","Treveon Graham","MIN",1678854
"367","David Nwaba","BRK",1678854
"368","Dragan Bender","MIL",1678854
"369","Willy Hernangómez","CHO",1676735
"370","Isaac Bonga","WAS",1663861
"371","Derrick Jones","MIA",1645357
"372","Jordan McRae","WAS",1645357
"373","Georges Niang","UTA",1645357
"374","Christian Wood","DET",1645357
"375","Justin Patton","OKC",1620564
"376","Tyler Lydon","SAC",1620564
"377","Wesley Iwundu","ORL",1618520
"378","Abdel Nader","OKC",1618520
"379","Damyean Dotson","NYK",1618520
"380","Frank Jackson","NOP",1618520
"381","Sterling Brown","MIL",1618520
"382","Dillon Brooks","MEM",1618520
"383","Dwayne Bacon","CHO",1618520
"384","Semi Ojeleye","BOS",1618520
"385","Ivan Rabb","MEM",1618520
"386","Royce O'Neale","UTA",1618520
"387","Monte Morris","DEN",1588231
"388","Antonio Blakeney","CHI",1588231
"389","Malcolm Miller","TOR",1588231
"390","Chris Boucher","TOR",1588231
"391","Tyrone Wallace","MIN",1588231
"392","Alfonzo McKinnie","GSW",1588231
"393","Mitchell Robinson","NYK",1559712
"394","Isaiah Roby","DAL",1500000
"395","Nigel Williams-Goss","UTA",1500000
"396","J.R. Smith","CLE",1456667
"397","Shake Milton","PHI",1445697
"398","Thanasis Antetokounmpo","MIL",1445697
"399","Theo Pinson","BRK",1445697
"400","Brad Wanamaker","BOS",1445697
"401","Ryan Broekhoff","DAL",1443842
"402","Kenrich Williams","NOP",1443842
"403","Gary Trent","POR",1416852
"404","Chimezie Metu","SAS",1416852
"405","Élie Okobo","PHO",1416852
"406","Jevon Carter","PHO",1416852
"407","Melvin Frazier","ORL",1416852
"408","Deonte Burton","OKC",1416852
"409","Hamidou Diallo","OKC",1416852
"410","Keita Bates-Diop","MIN",1416852
"411","De'Anthony Melton","MEM",1416852
"412","Alize Johnson","IND",1416852
"413","Sviatoslav Mykhailiuk","DET",1416852
"414","Bruce Brown","DET",1416852
"415","Jarred Vanderbilt","DEN",1416852
"416","Devonte' Graham","CHO",1416852
"417","Duncan Robinson","MIA",1416852
"418","Isaiah Hartenstein","HOU",1416852
"419","Gary Clark","HOU",1416852
"420","Jemerrio Jones","WAS",1416852
"421","Kendrick Nunn","MIA",1416852
"422","Michael Frazier","HOU",1416852
"423","Jalen Brunson","DAL",1416582
"424","Bruno Fernando","ATL",1400000
"425","Jaylen Nowell","MIN",1400000
"426","Kevin Porter","CLE",1290960
"427","Carsen Edwards","BOS",1200000
"428","Cody Martin","CHO",1173310
"429","George Hill","MIL",1e+06
"430","Terance Mann","LAC",1e+06
"431","Jonathon Simmons","WAS",1e+06
"432","Justin Hamilton","TOR",1e+06
"433","Kyle Singler","OKC",999200
"434","Admiral Schofield","WAS",898310
"435","KZ Okpala","MIA",898310
"436","Eric Paschall","GSW",898310
"437","Nicolas Claxton","BRK",898310
"438","Justin James","SAC",898310
"439","Ignas Brazdeikis","NYK",898310
"440","Talen Horton-Tucker","LAL",898310
"441","Daniel Gafford","CHI",898310
"442","Alen Smailagić","GSW",898310
"443","Miye Oni","UTA",898310
"444","Naz Reid","MIN",898310
"445","Dewan Hernandez","TOR",898310
"446","Justin Robinson","WAS",898310
"447","Stanton Kidd","UTA",898310
"448","Shaquille Harrison","CHI",898310
"449","Javonte Green","BOS",898310
"450","William Howard","UTA",898310
"451","Caleb Martin","CHO",898310
"452","Khyri Thomas","DET",838464
"453","Patrick Patterson","OKC",737067
"454","Cole Aldrich","MIN",685340
"455","Shaun Livingston","GSW",666667
"456","Dakari Johnson","MEM",459414
"457","A.J. Hammons","MIA",350087
"458","Festus Ezeli","POR",333333
"459","C.J. Watson","ORL",333333
"460","Troy Williams","HOU",122741
"461","Yante Maten","MIA",1e+05
"462","Jaylen Adams","ATL",1e+05
"463","Demetrius Jackson","BOS",92857
